ERR2537816.1;size=4	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.47)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.2;size=4	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia moricandioides_308297(0.19)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.3;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.88),s:Moricandia suffruticosa_308298(0.42)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.4;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.98),o:Brassicales_3699(0.97),f:Brassicaceae_3700(0.97),g:Moricandia_180539(0.83),s:Moricandia suffruticosa_308298(0.30)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.5;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.88),s:Moricandia suffruticosa_308298(0.39)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.6;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.97),f:Brassicaceae_3700(0.97),g:Rytidocarpus_308306(0.02),s:Rytidocarpus moricandioides_308307(0.02)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.7;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.8;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Rytidocarpus_308306(0.03),s:Rytidocarpus moricandioides_308307(0.03)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.9;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.88),s:Moricandia spinosa_475163(0.14)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.10;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.82),s:Moricandia suffruticosa_308298(0.39)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.11;size=3	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia arvensis_180540(0.06)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.12;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.80),s:Moricandia suffruticosa_308298(0.41)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.13;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.76),s:Moricandia moricandioides_308297(0.21)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.14;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.92),s:Moricandia suffruticosa_308298(0.36)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.15;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.35)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.16;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.83),s:Moricandia suffruticosa_308298(0.41)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.17;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Erucastrum_109153(0.03),s:Erucastrum armoracioides_308290(0.02)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.18;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.85),s:Moricandia moricandioides_308297(0.30)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.19;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.91),s:Moricandia moricandioides_308297(0.34)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.20;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.90),s:Moricandia moricandioides_308297(0.26)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.21;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.80),s:Moricandia suffruticosa_308298(0.41)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.22;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.92),s:Moricandia spinosa_475163(0.11)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.23;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia moricandioides_308297(0.23)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.24;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.85),s:Moricandia moricandioides_308297(0.32)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.25;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.89),s:Moricandia suffruticosa_308298(0.45)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.26;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.34)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.27;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.83),s:Moricandia suffruticosa_308298(0.38)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.28;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.81),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.29;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.56)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.30;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.83),s:Moricandia suffruticosa_308298(0.41)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.31;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.89),s:Moricandia moricandioides_308297(0.24)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.32;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.33)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.33;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.81),s:Moricandia moricandioides_308297(0.33)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.34;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.45)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.35;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.88),s:Moricandia moricandioides_308297(0.23)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.36;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.42)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.37;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.85),s:Moricandia moricandioides_308297(0.29)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.38;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.81),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.39;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.92),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.40;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia moricandioides_308297(0.30)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.41;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.42;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.88),s:Moricandia moricandioides_308297(0.31)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.43;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia moricandioides_308297(0.31)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.44;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.83),s:Moricandia moricandioides_308297(0.26)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.45;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.90),s:Moricandia suffruticosa_308298(0.44)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.46;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.89),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
