ERR2537816.1;size=4	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.47)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.47;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.38)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.48;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.49;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.89),s:Moricandia suffruticosa_308298(0.35)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.50;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.98),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.90),s:Moricandia moricandioides_308297(0.26)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.51;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.41)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.52;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.38)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.53;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Rytidocarpus_308306(0.02),s:Rytidocarpus moricandioides_308307(0.02)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.54;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.89),s:Moricandia suffruticosa_308298(0.46)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.55;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.35)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.56;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.83),s:Moricandia suffruticosa_308298(0.32)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.57;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.42)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.58;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Thelypodiopsis_203600(0.01),s:Thelypodiopsis shinnersii_203603(0.01)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.59;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.79),s:Moricandia suffruticosa_308298(0.32)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.60;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.39)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.61;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.86),s:Moricandia moricandioides_308297(0.32)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.62;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.88),s:Moricandia suffruticosa_308298(0.46)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.63;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.89),s:Moricandia arvensis_180540(0.08)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.64;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.84),s:Moricandia suffruticosa_308298(0.39)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.65;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.84),s:Moricandia suffruticosa_308298(0.36)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.66;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.87),s:Moricandia suffruticosa_308298(0.34)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.67;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.83),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.68;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.90),s:Moricandia suffruticosa_308298(0.43)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.69;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.79),s:Moricandia moricandioides_308297(0.29)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.70;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.71;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.98),f:Brassicaceae_3700(0.98),g:Moricandia_180539(0.82),s:Moricandia arvensis_180540(0.09)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.72;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.89),s:Moricandia suffruticosa_308298(0.43)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.73;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.78),s:Moricandia suffruticosa_308298(0.33)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.74;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:asterids_71274(0.01),o:Lamiales_4143(0.01),f:Lamiaceae_4136(0.01),g:Ziziphora_182395(0.01),s:Ziziphora clinopodioides_751879(0.01)	+	k:Viridiplantae_33090,p:Streptophyta_35493
ERR2537816.75;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.37)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.76;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.81),s:Moricandia suffruticosa_308298(0.37)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.77;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.42)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.78;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.82),s:Moricandia suffruticosa_308298(0.30)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.79;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.83),s:Moricandia moricandioides_308297(0.18)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.80;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.84),s:Moricandia suffruticosa_308298(0.38)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.81;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.83),s:Moricandia moricandioides_308297(0.27)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.82;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.81),s:Moricandia moricandioides_308297(0.28)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.83;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.84),s:Moricandia suffruticosa_308298(0.45)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.84;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.86),s:Moricandia suffruticosa_308298(0.39)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.85;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.82),s:Moricandia arvensis_180540(0.11)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.86;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.83),s:Moricandia arvensis_180540(0.09)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.87;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.88),s:Moricandia moricandioides_308297(0.34)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.88;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.89),s:Moricandia moricandioides_308297(0.31)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.89;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(0.99),o:Brassicales_3699(0.99),f:Brassicaceae_3700(0.99),g:Moricandia_180539(0.84),s:Moricandia suffruticosa_308298(0.41)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.90;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.89),s:Moricandia suffruticosa_308298(0.40)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.91;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.88),s:Moricandia suffruticosa_308298(0.42)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.92;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.83),s:Moricandia moricandioides_308297(0.33)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.93;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.80),s:Moricandia suffruticosa_308298(0.35)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
ERR2537816.94;size=2	k:Viridiplantae_33090(1.00),p:Streptophyta_35493(1.00),c:rosids_71275(1.00),o:Brassicales_3699(1.00),f:Brassicaceae_3700(1.00),g:Moricandia_180539(0.85),s:Moricandia suffruticosa_308298(0.39)	+	k:Viridiplantae_33090,p:Streptophyta_35493,c:rosids_71275,o:Brassicales_3699,f:Brassicaceae_3700
